"offering_id","title","tutor_name","platform_name","difficulty_level","price","rating","description","Mode","num_enrollments","offering_type","location","certifications"
"3.0","Optical Sensors","Prof. Sachin Kumar Srivastava","nptel","unknown","free","null","This course provides detailed insight of the field of optical biosensors and their basic working principles. Staring with the introduction of basic components, characteristics, performance parameters and fabrication techniques (lectures 1&2), this course brings the learner to the mesmerizing field of sensors based on basic principles of optics. The basic optical phenomena/characteristics and their sensing applications have been discussed in detail (lectures 3-8). In the last two lectures, the optical properties of tissues and optics in the biomaterials has been discussed with providing some further insights into optical biosensing applications. The course ends with notes on terahertz sensing applications and future directions of research.","online","1281.0","db3","remote","yes"
"4.0","Financial Mathematics","Prof. Pradeep Kumar Jha","nptel","unknown","free","null","The course on Financial Mathematics focuses on the mathematical properties and relations between concepts of financial and currency markets in investment and other economic activities. The course aims to enthuse confidence in participants to be able to address issues related to globalization of financial markets, development and feasibility of financial transactions, the increasing complexity of portfolio investments, analysing and forecasting market developments etc. Students in the course will gain an in-depth understanding of advanced economics concepts as well as knowledge of how the financial and banking sectors operate.","online","1041.0","db3","remote","yes"
"5.0","Biostatistics and design of experiments","Prof. Mukesh Doble","nptel","unknown","free","null","Biostatistics is the application of statistics to different topics in biology including medicine, pharmacy, public health science, agriculture and fishery. It involves the analysis of data from experiments; its interpretation and drawing conclusion from the results. It is very relevant to all UG and PG level degree programmes majoring in Biotechnology and allied fields as well as practicing scientists. It involves the application of statistical theory to real-world problems, the practice of designing and conducting biomedical experiments and clinical trials. Design of experiments is planning experimental strategy, screening a large number of parameters and selecting the important ones, determining the minimum number of experiments and deciding on the mode and manner in which experiment have to be conducted. The course encompasses topics such as distribution of data, sample size, tests of significance, data reduction, regression analysis, comparison of performance of drugs in clinical trials, design of experiments, screening and second order designs.","online","0.0","db3","remote","yes"
"17.0","Electronics Enclosures Thermal Issues","Prof. N V Chalapathi","nptel","unknown","free","null","Electronics Design is understood as analysis and implementation at various levels from large systems installation to chip design. One of the aspects is failure due to temperature effects is constantly under study. Theory of Heat transfer has been understood and explained way back in 1700. Rigor and precision has resulted in seemingly complicated âequationsâ.
 In the design of enclosures, managing heat is (relatively) well understood. Empirical results can be used to optimise the layout and reduce failure. Practices in use of heat management hardware are available from specialist manufacturers and can be used. This course is an attempt to familiarise the participating registrants with heat related issues in Design of Electronic Product enclosures.","online","908.0","db3","remote","yes"
"19.0","Operations and supply chain management","Prof. G. Srinivasan","nptel","unknown","free","null","This course introduces the viewer to the basics of Operations and Supply Chain Management. The concepts in Operations Management are restricted to the planning and operational decisions within an organization while the supply chain concepts are for a network of organizations. The main emphasis of the course is on the basic concepts and on quantitative modeling of the various decision problems.","online","883.0","db3","remote","yes"
"31.0","Manufacturing Process Technology I & II","Prof. Shantanu Bhattacharya","nptel","unknown","free","null","This is an introductory level course in Manufacturing Process Technology Part II is mostly meant for Undergraduate engineers. At the heart of any manufacturing system is a set of processes which change the size, shape and form of raw materials into the desirable thus giving an industrial nation the power of growing. This course is an introductory course for engineering professionals who would like to take up careers in manufacturing particularly at the process level and also for professionals who are already in manufacturing careers and would like to see the technological changes that the manufacturing processes have witnessed in the last about 5 decades.","online","3850.0","db3","remote","yes"
"32.0","Mechanism and Robot Kinematics","Prof. Anirvan Dasgupta","nptel","unknown","free","null","This course will be a foundation course in analysis of mechanisms and robots. After a brief introduction to the subject matter and terms, the audience will be taken from kinematic analysis of planar closed-loop chains to open loop chains. Under spatial kinematic chains, the analysis will cover closed-loop mechanisms, serial manipulators, and parallel manipulators. The course will dwell upon coordinate frames, Denavit-Hartenberg parametrization, coordinate transformations, direct and inverse kinematics, velocity and acceleration analysis, kinematic motion planning, singularities in kinematic chains, principle of virtual work and force analysis. The course will demonstrate various concepts by working out problems and exercises relevant to real life applications involving innovative mechanisms and robotic chains. The course is expected to help students and researchers in their basic understanding and use of kinematic analysis. This course will also pave way for more advanced courses on mechanism and robot dynamics and design","online","1288.0","db3","remote","yes"
"35.0","Geosynthetics Testing Laboratory","Prof. J. N. Mandal","nptel","unknown","free","null","This course will show how to conduct the various types of tests used for geosynthetic testing. Each experiment of geosynthetic testing is presented with brief introduction covering the important details of the experiment, the theory and the purpose for which it is to be performed, followed by the detailed explanation of apparatus required, procedure and specimen calculations. These should enable students to compute the results of experiments very easily.","online","498.0","db3","remote","yes"
"44.0","Wastewater Treatment and Recycling","Manoj Kumar Tiwari","nptel","unknown","free","null","With growing concerns over freshwater availability, concept of treating and recycling wastewater is progressively getting more pertinent. However, wastewater to be recycled need to be treated first for ensuring its quality sufficiently fit for designated uses, such as irrigation, industrial processes, toilet flushing, ground water recharge etc. Wastewater treatment can be specifically tailored to meet the water quality requirements of a planned reuse, as some would need only moderate treatment while few others may require higher degree purification.This course aims to discuss the various treatment technologies and their application for producing reuse quality water from wastewater. The course will largely cover topics including the basic philosophy of wastewater treatment, principles of various wastewater treatment units, conventional treatment systems, advanced treatment processes, recycling and reuse opportunities and wastewater reuse criteria. The purpose of this course is to instil in participants the comprehensive knowledge and understanding on technologies for water reclamation and reuse.","online","0.0","db3","remote","yes"
"46.0","Scheduling Techniques in Projects","Prof. J. Uma Maheswari","nptel","unknown","free","null","This course aims to make the students well-versed with the latest scheduling techniques in construction projects. Hence, the contents are planned in such a way that any student shall be able to do the scheduling at ease starting from simple network techniques to matrix-based methods. Sufficient tutorials will be held to enable hands-on experience to the students.","online","1262.0","db3","remote","yes"
